Designator,Mid X,Mid Y,Rotation,Layer
BT1,163.225,-128.35,180.0,top
D1,116.99,-71.27,0.0,top
D10,190.311654,-102.569596,350.0,top
D11,116.99,-105.27,0.0,top
D12,134.92,-102.67,0.0,top
D13,152.97,-95.38,0.0,top
D14,170.728282,-106.072828,356.0,top
D15,187.36,-119.36,350.0,top
D16,98.366544,-125.916594,8.0,top
D17,117.134141,-124.038586,4.0,top
D2,134.92,-68.67,0.0,top
D3,152.97,-61.38,0.0,top
D4,173.124141,-72.091414,356.0,top
D5,193.285827,-85.864798,350.0,top
D6,116.99,-88.37,0.0,top
D7,134.92,-85.67,0.0,top
D8,152.97,-78.38,0.0,top
D9,171.924141,-89.091414,356.0,top
JP1,167.025,-127.475,0.0,bottom
JP2,167.025,-129.25,0.0,top
JP3,167.025,-129.25,0.0,bottom
JP4,167.025,-127.475,0.0,top
L1,180.251019,-58.576792,0.0,top
L2,174.500504,-58.188721,0.0,top
L3,168.785254,-57.800649,0.0,top
PSW1,85.025,-94.435,0.0,top
R1,184.975,-58.35,90.0,top
R2,187.475,-58.35,90.0,top
R3,189.975,-58.35,90.0,top
RSW1,112.82,-56.82,180.0,top
SW1,116.96,-68.313872,0.0,top
SW10,190.799523,-99.641867,350.0,top
SW11,116.96,-102.287813,0.0,top
SW12,134.952431,-99.641867,0.0,top
SW13,152.944862,-92.33906,0.0,top
SW14,170.937294,-103.063964,356.0,top
SW15,187.836064,-116.364248,350.0,top
SW16,97.944469,-123.032035,8.0,top
SW17,116.96,-121.056395,3.0,top
SW19,97.35,-101.65,90.0,top
SW2,134.952431,-65.632647,0.0,top
SW3,152.944862,-58.365117,0.0,top
SW4,173.301009,-69.160575,356.0,top
SW5,193.72771,-82.88421,350.0,top
SW6,116.96,-85.318484,0.0,top
SW7,134.952431,-82.637259,0.0,top
SW8,152.944862,-75.334448,0.0,top
SW9,172.101506,-86.129911,356.0,top
U1,97.0625,-71.918,0.0,top
